X (m),Y (m),Z (m),Ux (m/s),Uy (m/s),Uz (m/s),Gamma (dimensionless),Phi_v (W/m^3),KE_Flux_Density (W/m^2)
-0.00600035,5.44729e-08,0.0160377,0.0018185612,0.011464701,-0.009943341,0.060570285,0.0021627937,0.0017853586
-0.00300006,2.02315e-08,0.0160414,0.0024656337,0.006752462,-0.0148540465,0.070666395,0.0031756088,0.0022469016
-8.3993e-12,1.64846e-08,0.0160436,0.0035209465,0.0026409435,-0.01877432,0.011131694,0.00079819176,0.0035852215
0.00300006,2.01461e-08,0.0160414,0.0039208448,-0.00072318217,-0.019215848,0.007798168,0.00058942515,0.003779254
0.00600035,5.41558e-08,0.0160377,0.0041260947,-0.0052182293,-0.014118117,0.30819097,0.011715778,0.0019007336
0.00900237,2.68721e-07,0.0160316,0.003935108,-0.0151884565,-0.001881583,1.133075,0.044712067,0.0019730409
0.0120136,1.82206e-06,0.0160204,0.005348433,-0.038729843,0.015536476,0.080487184,0.05993526,0.037232798
0.0150287,1.36601e-05,0.0160035,0.004613828,-0.057595354,0.02505022,0.0048574703,0.012132308,0.124882996
0.0177383,-9.5963e-06,0.016,2.6441809e-08,0.0,0.0,1000000.0,13.658784,9.24365e-21
-0.0151049,0.00302433,0.0160022,0.00278244,0.019654473,-0.0107801,0.35218275,0.040592305,0.0057629603
-0.0120265,0.00301118,0.0160179,0.007882635,0.020214109,-0.006274773,0.09485002,0.010928095,0.005760724
-0.00900445,0.00300244,0.0160287,0.0068096784,0.017613124,-0.0072801965,0.047920235,0.003972383,0.004144787
-0.00600067,0.00300048,0.0160362,0.005373794,0.01209611,-0.0103266,0.042778164,0.0020239886,0.0023656797
-0.00300011,0.00300016,0.0160396,0.005782951,0.0070693633,-0.014143719,0.026445653,0.0012621162,0.0023862452
1.05133e-11,0.00300012,0.0160411,0.0066035497,0.003182215,-0.016868414,0.0071503147,0.00044487035,0.0031108444
0.00300011,0.00300016,0.0160396,0.0072411406,-4.1138763e-05,-0.016945645,0.011190635,0.0007003069,0.0031289866
0.00600067,0.00300048,0.0160362,0.008111765,-0.004944061,-0.011896425,0.53980225,0.01904666,0.0017642257
0.00900445,0.00300244,0.0160286,0.010321217,-0.018578453,0.0027660572,0.7496526,0.07380027,0.0049222982
0.0120265,0.00301118,0.0160179,0.015148611,-0.043849163,0.021386951,0.04161641,0.055479594,0.06665591
